City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,nagqu,31.5,92.0,1.8400000000000318,99,100,1.58,CN,1690167179
102,kirakira,-10.4544,161.9205,25.670000000000016,90,100,3.07,SB,1690167179
103,ascension,30.2169,-90.9001,28.379999999999995,81,40,1.54,US,1690167179
104,qaqortoq,60.7167,-46.0333,8.830000000000041,88,29,1.68,GL,1690167180
105,lorengau,-2.0226,147.2712,29.090000000000032,68,98,2.21,PG,1690167180
106,lucea,18.451,-78.1736,29.920000000000016,82,0,3.77,JM,1690167180
107,thakhek,17.4103,104.8307,29.060000000000002,65,9,1.8,LA,1690167180
108,lakatoro,-16.0999,167.4164,25.140000000000043,74,81,3.99,VU,1690167181
109,krasnovishersk,60.4078,57.082,16.02000000000004,75,28,1.65,RU,1690167181
110,kingston,17.997,-76.7936,29.53000000000003,72,20,6.69,JM,1690166964
111,murzuq,25.9155,13.9184,28.910000000000025,15,47,4.54,LY,1690167182
112,shamsabad,27.0167,78.1333,32.710000000000036,56,100,4.04,IN,1690167182
113,aral,40.5156,81.2636,32.80000000000001,22,88,3.19,CN,1690167182
114,collie,-33.3667,116.15,16.960000000000036,36,0,4.67,AU,1690167183
115,labrador city,52.9463,-66.9114,14.950000000000045,94,75,1.54,CA,1690167183
116,kapuskasing,49.4169,-82.4331,16.05000000000001,94,100,4.63,CA,1690167183
117,aykhal,66.0,111.5,22.920000000000016,59,100,7.05,RU,1690167184
118,tadine,-21.55,167.8833,21.120000000000005,49,63,2.45,NC,1690167184
119,palmer,42.1584,-72.3287,21.390000000000043,81,0,0.0,US,1690167184
120,grytviken,-54.2811,-36.5092,-6.229999999999961,77,37,3.23,GS,1690167185
121,souillac,-20.5167,57.5167,22.210000000000036,83,75,5.14,MU,1690167185
122,fraserburgh,57.6874,-2.0184,10.240000000000009,84,84,8.56,GB,1690167185
123,uturoa,-16.7333,-151.4333,26.07000000000005,76,60,4.37,PF,1690167186
124,tromso,69.6496,18.957,14.100000000000023,87,75,1.54,NO,1690167186
125,otra banda,18.6502,-68.6628,27.360000000000014,89,90,3.72,DO,1690167187
126,saudarkrokur,65.7461,-19.6394,9.840000000000032,96,100,0.35,IS,1690167187
127,bredasdorp,-34.5322,20.0403,10.910000000000025,55,100,2.91,ZA,1690167162
128,kasongo,-4.45,26.6667,23.510000000000048,46,41,1.24,CD,1690167188
129,baoying,33.2292,119.3092,32.77000000000004,59,0,1.02,CN,1690167188
130,tabas,33.5959,56.9244,30.120000000000005,17,0,2.06,IR,1690167189
131,klyuchi,52.2667,79.1667,26.27000000000004,31,59,2.77,RU,1690167171
132,lompoc,34.6391,-120.4579,26.08000000000004,93,100,2.06,US,1690167102
133,utrik,11.2278,169.8474,28.74000000000001,76,90,7.88,MH,1690167190
134,kizel,59.0471,57.6477,14.57000000000005,100,25,0.45,RU,1690167190
135,malakal,9.5334,31.6605,23.620000000000005,76,97,1.22,SS,1690167190
136,ketchikan,55.3422,-131.6461,17.260000000000048,67,40,4.63,US,1690167191
137,keflavik,64.0049,-22.5624,10.480000000000018,100,75,2.06,IS,1690167189
138,ribeira grande,38.5167,-28.7,22.100000000000023,85,16,1.79,PT,1690167191
139,ceeldheer,3.8488,47.1806,23.980000000000018,84,51,7.57,SO,1690167192
140,saint-mandrier-sur-mer,43.078,5.929,25.430000000000007,58,43,2.06,FR,1690167040
141,medina de rioseco,41.8833,-5.0441,18.27000000000004,72,88,2.68,ES,1690167194
142,sao vicente,-23.9631,-46.3919,24.100000000000023,26,5,1.8,BR,1690167195
143,gurun,5.8172,100.4738,29.900000000000034,71,49,0.45,MY,1690167195
144,georgetown,5.4112,100.3354,30.960000000000036,78,20,2.57,MY,1690167052
145,belozersk,60.0326,37.7957,11.660000000000025,91,23,4.09,RU,1690167195
146,eureka,40.8021,-124.1637,17.57000000000005,84,50,3.13,US,1690167196
147,mariehamn,60.0973,19.9348,7.920000000000016,100,6,0.51,AX,1690167196
148,cochin,9.9399,76.2602,26.680000000000007,83,94,2.35,IN,1690167196
149,chos malal,-37.3781,-70.2709,1.9700000000000273,87,98,0.21,AR,1690167197
150,kariba,-16.5167,28.8,14.82000000000005,61,0,1.3,ZW,1690167197
151,island harbour,50.724,-1.2758,16.629999999999995,93,92,0.89,GB,1690167197
152,bambanglipuro,-7.95,110.2833,26.890000000000043,66,8,2.6,ID,1690167198
153,pandan,14.0453,124.1694,27.420000000000016,84,100,12.9,PH,1690167198
154,shubarshi,48.5872,57.1869,25.090000000000032,31,7,4.0,KZ,1690167198
155,manicore,-5.8092,-61.3003,23.77000000000004,51,52,0.9,BR,1690167198
156,fale old settlement,-9.3852,-171.2468,28.470000000000027,77,11,6.13,TK,1690167199
157,crane,31.3974,-102.3501,33.650000000000034,21,45,4.73,US,1690167199
158,harstad,68.799,16.5293,13.680000000000007,99,100,0.89,NO,1690167199
159,kupang,-10.1667,123.5833,28.32000000000005,57,40,11.32,ID,1690167200
160,illizi,26.4833,8.4667,30.890000000000043,11,0,5.33,DZ,1690167201
161,port macquarie,-31.4333,152.9167,18.27000000000004,53,94,4.92,AU,1690167201
162,pudozh,61.8099,36.5345,12.629999999999995,98,100,3.71,RU,1690167201
